dev,singletons,controls,offset
27830.229991289463,3994622,19973196,1
28853.449753690955,3994621,19973197,-1
6066.696126848712,3994622,19973196,2
5894.4247460232,3994621,19973196,-2
11875.821296893697,3994622,19973196,3
11963.15156380372,3994622,19973196,-3
9017.299129138393,3994622,19973195,4
9929.478805908067,3994622,19973198,-4
950.1528537502656,3994622,19973194,5
965.8537944872694,3994622,19973195,-5
122.3546165306334,3994622,19973190,6
128.18606433211062,3994622,19973194,-6
1169.8779989690138,3994622,19973195,7
1333.8006754183207,3994622,19973192,-7
3162.1764607856267,3994622,19973191,8
3473.8146629568755,3994622,19973195,-8
895.6862334523248,3994622,19973193,9
961.1937748320561,3994622,19973194,-9
261.87517937124176,3994622,19973194,10
281.6450178954142,3994622,19973193,-10
915.7532844251864,3994622,19973195,11
916.7727432101929,3994622,19973191,-11
341.1427922648227,3994622,19973194,12
320.0443982478173,3994622,19973192,-12
302.4328767660454,3994621,19973193,13
283.481081335008,3994622,19973191,-13
47.10100248260301,3994621,19973194,14
53.29686367462921,3994621,19973192,-14
86.83447898372924,3994622,19973193,15
66.77603293005814,3994622,19973192,-15
66.82439949047057,3994622,19973194,16
35.824356113813906,3994621,19973191,-16
113.99764237103795,3994622,19973193,17
151.40413914404553,3994622,19973192,-17
233.9304053966589,3994621,19973190,18
263.475678048957,3994622,19973190,-18
100.86192181885053,3994622,19973189,19
85.35941980381631,3994620,19973190,-19
156.3436054259637,3994622,19973187,20
145.77718371494484,3994620,19973192,-20
17.822982400640058,3994622,19973188,21
53.5351940248961,3994621,19973191,-21
8.295934032030573,3994622,19973187,22
5.053041806464421,3994621,19973191,-22
77.09667442283558,3994622,19973187,23
56.531187413895395,3994621,19973189,-23
164.41431881140488,3994622,19973186,24
154.28338179015918,3994621,19973189,-24
90.97585498101614,3994622,19973186,25
82.28415627075537,3994621,19973190,-25
191.98212752576285,3994622,19973183,26
176.19644818715278,3994621,19973191,-26
343.7353516626092,3994622,19973184,27
437.87734942833276,3994621,19973190,-27
56.60928833419803,3994621,19973182,28
49.40417929740116,3994621,19973189,-28
195.49486449670417,3994622,19973181,29
150.63246362984137,3994621,19973189,-29
53.571190675857224,3994622,19973181,30
36.7542185083862,3994621,19973190,-30
42.95212682447436,3994622,19973180,31
43.32325512349098,3994621,19973189,-31
240.66402235756482,3994622,19973179,32
270.326054975126,3994621,19973189,-32
55.40307876832685,3994621,19973180,33
127.68665558813336,3994621,19973189,-33
104.21757939530562,3994621,19973179,34
110.18197973365295,3994621,19973189,-34
147.19246387234534,3994622,19973178,35
108.71464749588836,3994620,19973187,-35
324.5745489096644,3994622,19973179,36
280.5880914349891,3994621,19973187,-36
149.64728781419217,3994622,19973180,37
177.3656065261075,3994621,19973183,-37
40.67051782846019,3994622,19973181,38
24.75674872289892,3994621,19973181,-38
95.10057844091625,3994622,19973178,39
92.8437640867237,3994619,19973181,-39
45.392234686272786,3994622,19973178,40
59.299608611740496,3994620,19973180,-40
31.59534384849576,3994621,19973178,41
44.22620868003469,3994619,19973178,-41
61.401212459110866,3994622,19973176,42
48.00339873458199,3994620,19973179,-42
234.9662614294366,3994620,19973177,43
197.71519694263816,3994620,19973179,-43
196.23180860865,3994621,19973177,44
209.42516036439866,3994620,19973181,-44
224.5285533399774,3994621,19973174,45
313.1246953199757,3994620,19973177,-45
203.82637743387295,3994621,19973176,46
144.1993648575799,3994620,19973179,-46
204.3552901969133,3994621,19973175,47
155.5984786402878,3994620,19973178,-47
93.4165173527781,3994621,19973176,48
92.63315647508944,3994620,19973177,-48
34.12065878740543,3994620,19973175,49
40.29654834872122,3994620,19973178,-49
72.40047406076542,3994619,19973173,50
52.331310548198076,3994620,19973178,-50
49.710085204696725,3994619,19973174,51
50.645913743630494,3994620,19973177,-51
40.33025780805622,3994619,19973173,52
38.241845806127685,3994620,19973174,-52
72.14666502401087,3994619,19973173,53
56.034755107001615,3994620,19973176,-53
43.429878581604726,3994619,19973173,54
42.307887845296364,3994620,19973175,-54
21.840925602473362,3994618,19973167,55
86.86698602719571,3994620,19973175,-55
130.90155732234962,3994618,19973169,56
80.26350432707841,3994620,19973175,-56
95.89692063049824,3994619,19973170,57
104.50231209873346,3994620,19973176,-57
147.011279520475,3994619,19973171,58
173.2663875540875,3994620,19973174,-58
64.4581961079428,3994619,19973169,59
50.303360829396865,3994621,19973173,-59
136.7393975908431,3994619,19973168,60
91.28605687768061,3994620,19973173,-60
52.16182743354602,3994619,19973169,61
43.19218907766481,3994620,19973171,-61
21.45667439662924,3994619,19973170,62
10.015448534034363,3994620,19973171,-62
76.39697258060528,3994619,19973168,63
114.64736022524585,3994620,19973169,-63
66.45332032750866,3994619,19973169,64
69.07659340845566,3994620,19973170,-64
58.25149512292046,3994619,19973168,65
54.651912615016954,3994620,19973170,-65
137.84344882712503,3994619,19973167,66
135.97094918962466,3994619,19973172,-66
107.24585253340047,3994619,19973167,67
127.05233839782886,3994618,19973171,-67
134.20461563622484,3994619,19973169,68
136.03673357855132,3994620,19973170,-68
107.59058998717137,3994619,19973169,69
104.31669893568187,3994620,19973171,-69
60.41585715329802,3994619,19973167,70
68.42867245308275,3994619,19973172,-70
97.86094659680157,3994619,19973165,71
99.88656332166829,3994619,19973171,-71
55.18889869559848,3994618,19973162,72
44.65593993346647,3994617,19973169,-72
43.514055759329494,3994618,19973166,73
28.318987514464425,3994619,19973169,-73
89.64243641355858,3994619,19973165,74
120.23609369640417,3994618,19973170,-74
