dev,singletons,controls,offset
252555.41852758033,13689379,68446985,1
248217.2115466297,13689379,68446986,-1
216026.67856493552,13689380,68446982,2
220349.2334132843,13689380,68446986,-2
57735.51582770812,13689379,68446982,3
57682.403043948114,13689380,68446984,-3
5297.496437895999,13689380,68446980,4
5298.946191918338,13689380,68446982,-4
1909.310776692333,13689380,68446978,5
1974.7300588949256,13689379,68446988,-5
2892.206282605315,13689380,68446975,6
2914.1013173592437,13689379,68446985,-6
10082.358787374726,13689379,68446973,7
9814.998755389715,13689379,68446985,-7
2389.3774897695357,13689380,68446976,8
2511.845760094626,13689379,68446986,-8
829.2389807433501,13689380,68446969,9
913.2105299645555,13689380,68446986,-9
1393.4567017135705,13689380,68446968,10
1350.7559412525734,13689380,68446986,-10
1413.0096400430884,13689380,68446967,11
1638.5411179051625,13689380,68446985,-11
137.1643192450265,13689379,68446967,12
230.91182024958835,13689380,68446985,-12
1516.0613710348807,13689380,68446965,13
1537.1617721346847,13689379,68446984,-13
868.1027858048292,13689380,68446966,14
777.4797961288687,13689380,68446984,-14
593.5641042859206,13689379,68446963,15
475.2365756496147,13689380,68446984,-15
990.0374550499469,13689378,68446961,16
1018.7978683263682,13689379,68446980,-16
750.4210734839435,13689379,68446966,17
763.2142881844666,13689379,68446977,-17
898.8094831888302,13689378,68446962,18
933.3194092933772,13689379,68446977,-18
317.5665157083931,13689378,68446962,19
290.34409506745214,13689379,68446977,-19
739.7651758028669,13689379,68446964,20
782.7965845954768,13689379,68446977,-20
599.4805399766119,13689379,68446962,21
557.0366898391931,13689377,68446974,-21
75.58316077861355,13689379,68446962,22
44.841061507733144,13689378,68446975,-22
117.18840795100778,13689377,68446958,23
127.98474061619618,13689378,68446975,-23
73.15226017487566,13689376,68446956,24
53.557602162351486,13689378,68446978,-24
1478.042607299517,13689377,68446953,25
1463.7241273962682,13689378,68446976,-25
818.3146954491872,13689375,68446953,26
790.5851456861619,13689378,68446971,-26
181.65133111250725,13689375,68446951,27
236.73799508261072,13689378,68446975,-27
85.36610562739861,13689376,68446951,28
119.69315931815527,13689378,68446974,-28
233.70621568708157,13689376,68446949,29
205.92766287471022,13689378,68446972,-29
626.0201497814014,13689376,68446953,30
628.1953394484462,13689377,68446973,-30
369.90203786137135,13689375,68446952,31
420.8285818349286,13689377,68446971,-31
121.41275787982158,13689376,68446952,32
112.35461649365789,13689377,68446970,-32
176.2415191341388,13689376,68446947,33
210.6135709686555,13689376,68446969,-33
47.48882241161846,13689376,68446951,34
32.62739893475583,13689376,68446968,-34
388.4970478915202,13689376,68446946,35
352.77057576536026,13689374,68446968,-35
225.90184370004226,13689375,68446947,36
208.19691294185031,13689376,68446968,-36
24.48294069850124,13689374,68446946,37
32.81968945416929,13689376,68446964,-37
190.89228561387245,13689375,68446942,38
176.2953935009782,13689375,68446964,-38
78.057677815729,13689373,68446944,39
90.94729620785529,13689376,68446968,-39
156.4385422434757,13689373,68446943,40
171.94739321066572,13689377,68446967,-40
76.62860432872003,13689373,68446942,41
88.5638560354746,13689377,68446968,-41
187.06557636393518,13689372,68446939,42
181.5420558702117,13689376,68446965,-42
255.47056809756396,13689373,68446941,43
235.27924033530144,13689376,68446968,-43
191.20740324868166,13689372,68446940,44
204.31254552306473,13689377,68446967,-44
279.10112281444617,13689372,68446941,45
297.04649984643925,13689377,68446963,-45
490.8311653806086,13689372,68446941,46
521.825059704257,13689376,68446964,-46
283.12469129047895,13689372,68446938,47
241.84667203006393,13689377,68446965,-47
13.82180298560661,13689372,68446938,48
19.97288526046964,13689377,68446962,-48
216.54210702276214,13689371,68446933,49
195.96055868503754,13689376,68446963,-49
200.81539779023024,13689371,68446937,50
197.61131467635096,13689375,68446961,-50
