dev,singletons,controls,offset
26694.454447509575,3620581,18102991,1
25485.825476339625,3620581,18102992,-1
15464.113140983518,3620581,18102993,2
15348.163002967733,3620581,18102992,-2
10720.180533373325,3620581,18102992,3
10760.107876566602,3620581,18102992,-3
6445.307373298483,3620581,18102992,4
6853.175725492344,3620581,18102993,-4
5653.127728956764,3620581,18102992,5
5692.686094751509,3620580,18102992,-5
2157.508010307545,3620581,18102992,6
2260.4745948507625,3620581,18102993,-6
1738.031536876968,3620581,18102989,7
1634.3881954602039,3620581,18102993,-7
1321.1892755887034,3620581,18102992,8
1158.1495321372786,3620581,18102993,-8
944.2071604474695,3620580,18102990,9
1096.6646090070026,3620581,18102993,-9
1064.4701571201422,3620581,18102989,10
1125.0555795192904,3620581,18102993,-10
1708.3935209235278,3620580,18102989,11
1634.196822710779,3620581,18102991,-11
436.9607975767003,3620581,18102988,12
456.0293375513047,3620581,18102991,-12
624.2331376226939,3620581,18102990,13
699.2984588091149,3620581,18102991,-13
342.31698683580817,3620581,18102987,14
363.28064172807626,3620581,18102992,-14
258.59912349641763,3620581,18102989,15
279.6317813004689,3620580,18102992,-15
165.76130046442358,3620581,18102989,16
191.23443483600386,3620581,18102990,-16
290.9484816797535,3620581,18102989,17
356.5922299971494,3620580,18102990,-17
69.10341551578836,3620581,18102988,18
68.41174286563921,3620581,18102991,-18
53.12625825082114,3620581,18102988,19
18.859782649139106,3620581,18102990,-19
20.211846898809426,3620580,18102987,20
62.831898924950224,3620581,18102990,-20
3.71382654849765,3620579,18102988,21
22.618979291242084,3620581,18102990,-21
10.81841416594898,3620580,18102988,22
14.575440472913442,3620580,18102989,-22
66.34810067008516,3620580,18102986,23
51.10765199444256,3620580,18102990,-23
47.3172416665808,3620579,18102986,24
77.95245529490276,3620580,18102989,-24
110.40185237523474,3620579,18102986,25
123.49328931287505,3620580,18102989,-25
164.98292877963922,3620579,18102985,26
172.03868330032992,3620580,18102989,-26
132.1380675658179,3620579,18102985,27
125.06036490723878,3620580,18102989,-27
110.97016234501484,3620578,18102986,28
79.7386321835279,3620580,18102988,-28
97.88511618770349,3620579,18102986,29
135.56109716468245,3620580,18102987,-29
141.3687083225018,3620579,18102986,30
161.80913756958398,3620580,18102987,-30
178.59026038193292,3620578,18102984,31
111.4944156624531,3620580,18102985,-31
111.90339527155757,3620579,18102986,32
130.10164673750603,3620580,18102985,-32
174.06283541409448,3620579,18102986,33
165.20056758409828,3620580,18102982,-33
14.105322353172255,3620579,18102984,34
14.98416691193136,3620580,18102983,-34
12.86243006403339,3620579,18102986,35
12.951506572025892,3620580,18102982,-35
127.27342769030406,3620579,18102985,36
