dev,singletons,controls,offset
69284.05674401151,12388972,61944949,1
68975.74764039439,12388973,61944949,-1
15328.532226590774,12388972,61944947,2
15142.642500025278,12388972,61944947,-2
13464.669514327077,12388972,61944949,3
13207.343080081511,12388973,61944950,-3
748.9045054419803,12388972,61944947,4
767.5876185015404,12388970,61944948,-4
1469.3012059719522,12388972,61944949,5
1398.3167344724816,12388972,61944948,-5
247.82711117876806,12388972,61944945,6
231.00476926193005,12388973,61944949,-6
1075.037417690819,12388972,61944944,7
1149.62893631722,12388973,61944948,-7
215.38327693449173,12388973,61944946,8
218.89404427004683,12388972,61944948,-8
2180.8171702663385,12388973,61944947,9
2101.031937412161,12388972,61944945,-9
1358.0894049626404,12388973,61944945,10
1296.584862953925,12388972,61944943,-10
2117.0985777360547,12388973,61944946,11
1213.5994141331794,12388973,61944945,-11
1093.8874876976079,12388971,61944940,12
852.5732348366109,12388973,61944944,-12
193.01971336948463,12388972,61944943,13
224.61433480273809,12388973,61944946,-13
84.2025617729887,12388972,61944939,14
69.95131863685856,12388972,61944944,-14
212.93216126814696,12388971,61944943,15
190.8758456176838,12388972,61944940,-15
294.87692169874936,12388971,61944940,16
276.512632492826,12388971,61944940,-16
513.935510296913,12388970,61944937,17
541.3797258434788,12388970,61944943,-17
242.48040454199327,12388971,61944935,18
303.3181699368788,12388972,61944938,-18
176.73498439462855,12388971,61944940,19
132.32217614497858,12388971,61944939,-19
528.7138607963598,12388970,61944936,20
422.32035752984575,12388969,61944938,-20
552.5913282092104,12388970,61944938,21
545.2679490287619,12388970,61944937,-21
319.61760044665607,12388971,61944936,22
254.05689926054947,12388970,61944942,-22
97.06119862661762,12388969,61944936,23
87.84597307695549,12388969,61944943,-23
205.4037262218926,12388971,61944935,24
232.46437619655944,12388969,61944940,-24
52.908303809141216,12388970,61944931,25
53.62566212554054,12388968,61944942,-25
175.57906243988873,12388968,61944933,26
138.7921711593873,12388968,61944939,-26
313.9152608820368,12388971,61944931,27
234.14171100207386,12388968,61944940,-27
721.4821550127094,12388970,61944931,28
718.9874635675114,12388968,61944940,-28
623.4984425457042,12388969,61944935,29
693.2325019203545,12388969,61944939,-29
361.5029204593036,12388969,61944930,30
327.07837027381925,12388969,61944938,-30
205.1074636884182,12388969,61944931,31
311.440942596721,12388968,61944936,-31
255.98226046920172,12388969,61944934,32
247.43101152305462,12388969,61944938,-32
247.08675414170648,12388970,61944929,33
341.18503193214565,12388967,61944937,-33
241.06005333987105,12388970,61944931,34
224.26251672443323,12388968,61944937,-34
49.33346800662366,12388969,61944928,35
45.78681645327242,12388968,61944936,-35
40.30972370686641,12388970,61944923,36
50.697161485134984,12388967,61944933,-36
75.59870742817293,12388968,61944925,37
67.28473558876476,12388968,61944930,-37
11.251301948757373,12388967,61944922,38
8.080336523364167,12388966,61944930,-38
72.79364095989786,12388967,61944922,39
74.1620908441846,12388968,61944930,-39
228.1387514024159,12388966,61944920,40
250.5153566280851,12388967,61944930,-40
138.07463468734915,12388968,61944919,41
158.96099107985333,12388968,61944930,-41
267.77618288457916,12388969,61944919,42
244.36186427471966,12388967,61944928,-42
238.61224922753445,12388968,61944920,43
282.50536007976285,12388966,61944924,-43
302.79213638010856,12388968,61944916,44
207.37976642996296,12388968,61944927,-44
100.9440644147935,12388967,61944919,45
127.86738723507091,12388967,61944925,-45
30.925531678238485,12388967,61944920,46
16.477658249359592,12388965,61944924,-46
5.461303118212982,12388967,61944921,47
7.949981992416269,12388963,61944923,-47
25.037614076806676,12388967,61944917,48
46.40840573813739,12388965,61944923,-48
307.98897923723007,12388965,61944914,49
370.3236902468616,12388965,61944921,-49
337.64355433789024,12388967,61944917,50
373.5351381334913,12388965,61944922,-50
266.0664359835755,12388966,61944916,51
225.19539718900523,12388965,61944919,-51
108.69631544454569,12388967,61944908,52
141.3712206280361,12388965,61944918,-52
146.1755626978902,12388967,61944914,53
189.0775302682439,12388965,61944915,-53
103.86938246402337,12388967,61944913,54
118.42219553937639,12388964,61944917,-54
11.484550443953594,12388967,61944912,55
19.449016698122932,12388964,61944917,-55
12.168917141920701,12388968,61944909,56
18.537960942442623,12388964,61944918,-56
121.93902969215287,12388966,61944909,57
141.2660234625182,12388964,61944918,-57
203.35962421428758,12388966,61944911,58
176.1722839552931,12388964,61944917,-58
171.09853891177318,12388966,61944909,59
119.04517441239614,12388964,61944910,-59
208.6826240529972,12388966,61944903,60
181.1686946836835,12388965,61944912,-60
262.2982734334264,12388964,61944902,61
198.91288615510712,12388965,61944909,-61
262.9878039986179,12388963,61944904,62
264.03101609961595,12388964,61944913,-62
78.37211970858266,12388965,61944903,63
116.70710039988171,12388963,61944912,-63
142.0264103131467,12388965,61944902,64
115.0168865155756,12388962,61944914,-64
47.07319719778234,12388965,61944905,65
46.130504351759555,12388961,61944909,-65
55.29106489808805,12388964,61944900,66
73.4917040734224,12388961,61944912,-66
84.36037770231087,12388963,61944900,67
70.6039890827933,12388961,61944914,-67
136.11829694020707,12388963,61944899,68
154.91715614405985,12388960,61944905,-68
205.82127297705847,12388962,61944898,69
175.69986574882387,12388961,61944908,-69
191.28311952998956,12388964,61944893,70
175.90472525104633,12388961,61944911,-70
313.63050821858815,12388961,61944894,71
272.5379622311975,12388960,61944905,-71
325.0964606012931,12388963,61944892,72
386.6821306635975,12388959,61944906,-72
398.85311942950284,12388964,61944886,73
391.12751471494994,12388958,61944902,-73
385.52980657899576,12388964,61944884,74
380.5362455091554,12388957,61944902,-74
136.38754150160003,12388964,61944882,75
150.37145093305844,12388955,61944901,-75
132.24283066437602,12388963,61944881,76
151.2348018511948,12388956,61944901,-76
37.50247899840224,12388961,61944874,77
56.86552624172691,12388956,61944901,-77
206.31063224198078,12388962,61944881,78
212.33654265515543,12388956,61944900,-78
361.01445346691617,12388963,61944878,79
397.2305176472837,12388955,61944897,-79
336.49905080462304,12388962,61944880,80
342.2923388546642,12388954,61944900,-80
573.6144813061364,12388961,61944877,81
512.4957712852338,12388956,61944899,-81
600.4237551175975,12388960,61944875,82
621.0339170326661,12388954,61944894,-82
566.9330172197442,12388961,61944874,83
439.14173182773084,12388957,61944891,-83
488.16880327287436,12388959,61944870,84
446.0297685931255,12388958,61944892,-84
403.30147208155176,12388960,61944868,85
423.4450380285707,12388956,61944894,-85
129.85928082703322,12388957,61944869,86
156.03619955022987,12388955,61944894,-86
86.00342482402925,12388959,61944869,87
82.52781629667243,12388955,61944891,-87
143.1329622899766,12388959,61944865,88
226.69420549540973,12388956,61944892,-88
123.34057038164065,12388957,61944865,89
137.0787232529142,12388955,61944893,-89
173.84132172655154,12388958,61944868,90
174.4098225982798,12388955,61944894,-90
211.88339439585616,12388957,61944862,91
209.93536568709533,12388955,61944894,-91
215.73161980924124,12388959,61944865,92
281.99537155964936,12388954,61944885,-92
411.4423500116718,12388959,61944862,93
371.64281308978025,12388954,61944886,-93
314.32851600500726,12388956,61944862,94
221.18267619000835,12388954,61944885,-94
233.10238651071631,12388958,61944863,95
250.66025607712436,12388953,61944880,-95
200.79350629682995,12388957,61944866,96
174.27135702913256,12388954,61944882,-96
121.72173713043776,12388958,61944862,97
98.4444127204705,12388953,61944882,-97
137.896232995864,12388958,61944864,98
156.95229249111162,12388953,61944881,-98
185.37936875703417,12388957,61944860,99
206.26541787620408,12388948,61944880,-99
194.7123114980186,12388958,61944854,100
141.57072740696094,12388951,61944878,-100
151.56360639003287,12388958,61944859,101
184.70078148546236,12388951,61944881,-101
198.81149813516458,12388957,61944858,102
253.46801925057298,12388950,61944880,-102
239.63021715081595,12388958,61944858,103
259.1785175573186,12388949,61944879,-103
160.12558866239306,12388958,61944856,104
230.58002747596038,12388949,61944873,-104
271.8911236441345,12388956,61944855,105
273.96956087401304,12388948,61944870,-105
187.99182780693081,12388958,61944850,106
245.73605999027495,12388949,61944872,-106
218.24921355928018,12388957,61944848,107
240.8242656125949,12388948,61944868,-107
162.20699064818655,12388957,61944848,108
132.31879636248414,12388949,61944867,-108
178.55814288046895,12388957,61944849,109
224.38779191563117,12388949,61944869,-109
199.5911283691803,12388956,61944847,110
220.70856903159438,12388948,61944866,-110
225.94113489261144,12388956,61944844,111
284.8554862232413,12388945,61944864,-111
281.2614795986192,12388956,61944844,112
273.92021957818724,12388947,61944866,-112
449.53439679986695,12388955,61944842,113
442.13702602466947,12388949,61944861,-113
302.5491401063555,12388955,61944833,114
402.00745553612796,12388949,61944855,-114
258.816086741921,12388953,61944839,115
240.91637930850993,12388948,61944856,-115
246.80082765454063,12388954,61944833,116
184.58966678372963,12388949,61944855,-116
190.7864331564997,12388953,61944837,117
174.01086747882982,12388946,61944853,-117
174.11756470776527,12388952,61944834,118
246.69864951985437,12388948,61944853,-118
167.28244530054872,12388953,61944831,119
193.58008996996068,12388947,61944847,-119
88.27586510365109,12388951,61944828,120
109.8292225458863,12388945,61944845,-120
157.3825678013136,12388953,61944829,121
167.68922447435762,12388947,61944847,-121
131.97305853928356,12388952,61944826,122
147.01850579074926,12388947,61944844,-122
150.26207317130684,12388952,61944824,123
183.618947226636,12388946,61944843,-123
182.4178720597738,12388948,61944824,124
166.00676563739762,12388948,61944847,-124
186.353646346819,12388949,61944823,125
236.79151206328243,12388948,61944844,-125
224.57683868961976,12388948,61944826,126
237.86340499763537,12388946,61944843,-126
242.61343667882466,12388943,61944824,127
260.46650271445105,12388947,61944843,-127
181.4720776702834,12388945,61944825,128
219.7590675729116,12388948,61944843,-128
187.01463843917372,12388945,61944824,129
210.49672679171636,12388946,61944838,-129
150.28667062299974,12388945,61944824,130
145.5163244033738,12388945,61944837,-130
147.40168840725346,12388943,61944822,131
153.95508135367345,12388947,61944832,-131
97.58968097825709,12388942,61944819,132
93.58499917634435,12388947,61944835,-132
99.58435691388331,12388944,61944817,133
155.53881905087655,12388946,61944834,-133
181.07962119487274,12388942,61944808,134
194.48135017416098,12388946,61944835,-134
215.85173754571588,12388941,61944810,135
156.40621508262848,12388946,61944832,-135
168.22675352151418,12388939,61944808,136
199.85594375314395,12388946,61944828,-136
177.32177489082642,12388939,61944804,137
149.37135073433637,12388945,61944827,-137
174.95765609739829,12388939,61944809,138
198.2140766104094,12388944,61944827,-138
231.13910358173234,12388938,61944804,139
194.95874561397613,12388943,61944825,-139
186.36934254405787,12388938,61944804,140
195.32540157943367,12388945,61944824,-140
185.2691172635059,12388937,61944803,141
160.7182131304071,12388944,61944824,-141
135.47298198115277,12388938,61944800,142
159.174172823532,12388942,61944819,-142
93.57166625023456,12388938,61944801,143
87.81895948248348,12388943,61944819,-143
82.29122534751423,12388936,61944801,144
120.2350720683171,12388944,61944810,-144
81.57257384738023,12388937,61944799,145
104.8694887229658,12388943,61944811,-145
69.7299494590336,12388934,61944800,146
61.00787746788774,12388942,61944806,-146
38.143138375533454,12388937,61944795,147
59.21557715102131,12388943,61944804,-147
44.85311377391304,12388933,61944793,148
35.53578989907737,12388942,61944798,-148
71.84824727855084,12388936,61944795,149
77.44434693484845,12388944,61944801,-149
105.80728243520417,12388935,61944795,150
128.92400314325073,12388943,61944801,-150
69.73052455170819,12388937,61944792,151
52.39502890672429,12388944,61944801,-151
25.563752381445738,12388936,61944791,152
28.29590005850764,12388944,61944806,-152
21.918062964690762,12388936,61944794,153
30.18778573810323,12388945,61944801,-153
36.03252182490269,12388937,61944791,154
16.189863099079957,12388945,61944799,-154
51.76519605333124,12388937,61944793,155
44.55356739857325,12388945,61944801,-155
79.0773788432507,12388937,61944790,156
57.46255673358792,12388946,61944800,-156
60.33001437114217,12388937,61944789,157
54.555163435990835,12388946,61944796,-157
70.75299200309928,12388936,61944790,158
69.96329213200625,12388945,61944794,-158
42.07528117623133,12388936,61944788,159
68.09825242112584,12388945,61944793,-159
127.21149803276967,12388935,61944786,160
96.97658754334225,12388945,61944793,-160
83.88925351311809,12388935,61944781,161
106.90769233025458,12388945,61944793,-161
85.04154381347325,12388935,61944784,162
89.8868721905219,12388943,61944790,-162
50.81629661674651,12388935,61944776,163
69.04357747556787,12388944,61944786,-163
70.79057911727341,12388933,61944770,164
78.25313088777239,12388942,61944784,-164
61.635441068598084,12388934,61944775,165
77.27479652432339,12388946,61944785,-165
82.13570726720718,12388935,61944776,166
56.73173599493748,12388946,61944783,-166
65.79451520585098,12388934,61944774,167
43.25778392107986,12388946,61944780,-167
56.46852036300152,12388935,61944774,168
51.20402124134216,12388946,61944785,-168
85.26287316866546,12388934,61944767,169
84.88789132159764,12388945,61944782,-169
81.46706443678886,12388932,61944762,170
124.19448160415413,12388943,61944778,-170
78.25699079326841,12388933,61944761,171
106.98852052976872,12388941,61944779,-171
73.72436492962333,12388933,61944750,172
59.526709292522355,12388943,61944776,-172
95.7614721868431,12388933,61944749,173
71.45659096990676,12388945,61944774,-173
50.328978210707646,12388932,61944748,174
66.63682047520888,12388944,61944769,-174
111.56308881720906,12388932,61944747,175
114.8905646937892,12388944,61944771,-175
87.00678284072092,12388932,61944747,176
74.45898395764652,12388945,61944770,-176
76.23689887281034,12388930,61944743,177
112.31003296873314,12388945,61944770,-177
76.03646060940628,12388930,61944743,178
58.78607527122767,12388945,61944765,-178
61.756031444308974,12388929,61944741,179
77.05284744221899,12388944,61944767,-179
106.85642807720978,12388929,61944736,180
118.97723870508344,12388944,61944764,-180
122.95853314354463,12388929,61944738,181
71.83537480386894,12388943,61944763,-181
101.5414385693739,12388928,61944739,182
88.05914504133762,12388942,61944764,-182
88.53577372761083,12388931,61944731,183
95.64188149882648,12388944,61944761,-183
59.99561564656324,12388930,61944728,184
56.58233556999494,12388943,61944761,-184
72.78186053901845,12388930,61944722,185
123.2392657741184,12388943,61944760,-185
76.39603762655133,12388930,61944721,186
114.64413938683356,12388944,61944758,-186
106.07707403467793,12388929,61944719,187
68.71897832020659,12388942,61944755,-187
108.82811323589704,12388926,61944718,188
142.7645045442623,12388943,61944754,-188
109.96931133466933,12388925,61944715,189
104.93642656458906,12388944,61944756,-189
110.0657789872439,12388926,61944714,190
104.07081515907703,12388943,61944756,-190
99.210765533624,12388925,61944710,191
136.60626836108895,12388942,61944753,-191
99.15193994540095,12388922,61944715,192
113.21548278567025,12388940,61944753,-192
81.55765114433416,12388922,61944711,193
108.87672400588781,12388936,61944748,-193
115.40973049378772,12388923,61944715,194
97.54157593105629,12388938,61944750,-194
88.80498952375092,12388923,61944715,195
123.46666841976548,12388938,61944746,-195
142.18874755513934,12388921,61944712,196
134.82713434300058,12388938,61944748,-196
181.99283629335514,12388922,61944704,197
122.6099336561183,12388936,61944746,-197
151.40696472204218,12388921,61944704,198
148.9344883093945,12388934,61944745,-198
126.79232975944069,12388920,61944704,199
95.06859941028051,12388935,61944747,-199
134.27237179221083,12388919,61944703,200
170.77928441140466,12388934,61944747,-200
123.7362313024696,12388918,61944700,201
120.3375431503955,12388933,61944741,-201
101.54039340466261,12388917,61944701,202
150.49193836995983,12388935,61944743,-202
119.98170917462903,12388919,61944700,203
166.93498933846422,12388934,61944747,-203
138.66128374956133,12388918,61944704,204
110.93796958122402,12388934,61944738,-204
174.90209311476792,12388915,61944700,205
118.0503957900055,12388934,61944742,-205
145.7080221219694,12388916,61944700,206
125.39025297907938,12388933,61944737,-206
146.9567455531669,12388915,61944699,207
157.86743609136465,12388933,61944733,-207
134.68366047929885,12388915,61944695,208
172.58602290831186,12388930,61944729,-208
150.44573622228927,12388915,61944693,209
171.19739624677277,12388930,61944730,-209
114.03623924621752,12388914,61944691,210
91.63189027273074,12388931,61944726,-210
158.58310948546932,12388912,61944693,211
99.57083809743563,12388931,61944730,-211
107.70222579216897,12388913,61944687,212
91.58614143780505,12388930,61944729,-212
67.33867437580557,12388913,61944688,213
124.58885901131725,12388930,61944724,-213
