dev,singletons,controls,offset
83181.14956527014,4576192,22881047,1
82618.76024343044,4576192,22881047,-1
67657.30066362114,4576192,22881048,2
67959.10920473436,4576192,22881045,-2
42097.909157477276,4576192,22881047,3
42798.392005396265,4576192,22881047,-3
9551.324660661412,4576192,22881046,4
9102.132340969842,4576192,22881047,-4
3649.6102728867445,4576191,22881046,5
3520.9995583434575,4576192,22881046,-5
498.4288246505839,4576192,22881045,6
538.3429479636379,4576192,22881047,-6
429.04055301011545,4576192,22881045,7
379.2128758100881,4576191,22881046,-7
870.0802253829397,4576192,22881044,8
870.3692179551845,4576191,22881044,-8
1264.0113654041643,4576192,22881043,9
1316.0927746485543,4576192,22881043,-9
540.7567545748861,4576192,22881045,10
445.0400829677383,4576192,22881044,-10
1986.3924146801328,4576192,22881044,11
1612.1139586546633,4576192,22881040,-11
1373.7371987434199,4576192,22881044,12
1045.9339972511916,4576192,22881040,-12
1118.6346256253287,4576192,22881042,13
1006.9383194411166,4576192,22881040,-13
1671.0722857831934,4576192,22881043,14
1876.926737377762,4576192,22881039,-14
1011.645799249065,4576191,22881042,15
963.9357695391554,4576192,22881039,-15
650.6787968872063,4576192,22881040,16
617.5894253081111,4576192,22881039,-16
1113.818458020276,4576192,22881038,17
1248.5596594998688,4576192,22881034,-17
525.0446226386566,4576191,22881038,18
466.39987376998124,4576191,22881038,-18
65.5954644894382,4576191,22881038,19
54.07823364835707,4576192,22881039,-19
337.5596384806604,4576190,22881036,20
447.05796858306985,4576191,22881036,-20
434.62592148401154,4576192,22881035,21
376.5068090055993,4576191,22881036,-21
230.794560055675,4576192,22881037,22
315.91570395503277,4576191,22881038,-22
256.44997411787335,4576192,22881036,23
304.74611829251944,4576192,22881034,-23
1448.0563469806693,4576192,22881034,24
1349.7202349583695,4576190,22881038,-24
320.8015799536379,4576190,22881030,25
421.2996642635335,4576192,22881036,-25
744.4426145289362,4576191,22881028,26
782.2461545295396,4576192,22881036,-26
320.9272628021499,4576191,22881031,27
393.06361270691286,4576192,22881036,-27
217.8977572418902,4576190,22881030,28
253.83016724304616,4576190,22881035,-28
117.99867438351885,4576191,22881031,29
147.5724832113092,4576192,22881039,-29
46.53345334048788,4576191,22881030,30
56.83443069570819,4576192,22881038,-30
325.8641349200743,4576189,22881030,31
312.9035855345637,4576191,22881036,-31
330.23283647790686,4576189,22881026,32
297.550186709424,4576192,22881036,-32
270.90118450156933,4576190,22881028,33
246.9182972562703,4576192,22881036,-33
42.33289645408877,4576190,22881028,34
51.288472920993115,4576192,22881035,-34
266.5206897435801,4576189,22881027,35
335.085121113103,4576192,22881036,-35
180.1428577992683,4576190,22881029,36
252.42997628046987,4576192,22881035,-36
86.17386531757688,4576190,22881026,37
106.0615627444381,4576191,22881034,-37
64.1680698089117,4576190,22881028,38
39.481010212111755,4576191,22881035,-38
62.255623806429014,4576190,22881027,39
59.86440692686256,4576191,22881036,-39
68.56620169254222,4576190,22881029,40
36.58829073617065,4576191,22881034,-40
85.37775320735068,4576190,22881029,41
98.75759053346349,4576191,22881032,-41
125.81999948758653,4576190,22881028,42
135.71661297100718,4576191,22881032,-42
51.82220525213552,4576190,22881029,43
81.45128985875726,4576191,22881032,-43
120.95229925786862,4576189,22881029,44
160.65807791186216,4576189,22881032,-44
61.70916237000074,4576189,22881028,45
131.39397684196047,4576190,22881030,-45
105.98649979071229,4576190,22881027,46
144.4758372123597,4576190,22881030,-46
164.93835005652272,4576190,22881029,47
217.40667720487824,4576190,22881029,-47
3.4783160389269483,4576188,22881029,48
14.766873907884133,4576190,22881028,-48
176.22331640267203,4576189,22881028,49
