dev,singletons,controls,offset
8540406.513918597,5990012,29950148,1
2847867.4975181166,5990012,29950147,-1
20105.0803216474,5990012,29950147,2
8107.076440914447,5990012,29950145,-2
54483.10952779223,5990012,29950147,3
30290.971480046355,5990012,29950148,-3
2938.2940681640466,5990012,29950146,4
12087.717525770362,5990012,29950145,-4
6494.3717440947075,5990011,29950147,5
9187.18242975833,5990011,29950147,-5
13908.677605800462,5990012,29950140,6
6794.265262840789,5990012,29950146,-6
12911.14736660284,5990012,29950147,7
12589.35645138508,5990012,29950147,-7
13323.125273738813,5990011,29950145,8
14866.664414750616,5990012,29950147,-8
7686.84264590177,5990011,29950147,9
9221.50293436055,5990012,29950145,-9
7560.693584190516,5990011,29950147,10
5216.552831625315,5990012,29950147,-10
11937.648819154358,5990011,29950143,11
4528.855353180903,5990012,29950144,-11
9691.713303092141,5990011,29950147,12
5612.927530039495,5990012,29950146,-12
3704.5954255999277,5990011,29950147,13
5431.050624899656,5990012,29950145,-13
1392.5328418476784,5990011,29950146,14
6777.180843054914,5990011,29950147,-14
16262.43957981608,5990011,29950143,15
6178.0246540560765,5990012,29950147,-15
20411.817460648133,5990011,29950145,16
23180.592972949424,5990011,29950143,-16
9915.106528721688,5990011,29950139,17
4562.342618400231,5990012,29950145,-17
7912.425485283653,5990012,29950144,18
1049.660318062779,5990012,29950145,-18
3041.749980909939,5990012,29950144,19
2223.035991069166,5990012,29950144,-19
10400.495548509913,5990012,29950144,20
7818.1758878511555,5990012,29950145,-20
6714.206584988569,5990012,29950143,21
13759.13952869286,5990012,29950145,-21
10430.804302548073,5990012,29950141,22
2277.545958179384,5990012,29950144,-22
5198.254993938048,5990012,29950143,23
16953.927920374743,5990012,29950142,-23
20119.174874050645,5990011,29950141,24
8087.7182283122565,5990012,29950138,-24
2745.0946863985373,5990012,29950143,25
10250.986969350499,5990012,29950141,-25
10000.955631790937,5990012,29950140,26
11645.221394024167,5990012,29950141,-26
11332.30347859193,5990012,29950142,27
843.8909871549804,5990011,29950140,-27
5426.823342172278,5990011,29950141,28
1723.5694826701467,5990011,29950135,-28
963.2272542435903,5990012,29950141,29
6429.12650271971,5990012,29950136,-29
6502.582183596314,5990011,29950141,30
9911.198425391558,5990011,29950140,-30
4257.9869223806745,5990012,29950137,31
1435.5262285910285,5990012,29950135,-31
419.9737407215871,5990011,29950140,32
12082.541362382864,5990011,29950137,-32
14968.879099300946,5990012,29950131,33
4385.88743116142,5990012,29950137,-33
11950.520983738592,5990012,29950140,34
25829.353652602196,5990012,29950136,-34
24687.77521887215,5990012,29950136,35
6728.270412567204,5990012,29950138,-35
2309.6171734043946,5990010,29950137,36
9507.833513092159,5990012,29950133,-36
3116.0103415985504,5990012,29950137,37
3582.331742648854,5990012,29950135,-37
3340.711494483341,5990011,29950140,38
3750.8648754336873,5990012,29950136,-38
5476.768435640341,5990012,29950136,39
379.191150541561,5990011,29950135,-39
7152.331670743864,5990011,29950140,40
9775.446449288647,5990012,29950135,-40
6178.026669102255,5990011,29950140,41
9421.84890195865,5990012,29950137,-41
7979.11391330108,5990012,29950138,42
2365.381205982207,5990012,29950137,-42
1689.7527918079068,5990012,29950140,43
1294.2160685499166,5990011,29950133,-43
1695.0842827972047,5990012,29950139,44
5665.118313653182,5990011,29950132,-44
11474.440522597775,5990012,29950139,45
846.2726050319079,5990012,29950134,-45
900.5064650283857,5990011,29950137,46
10133.223361611002,5990012,29950131,-46
3597.3904997135846,5990012,29950138,47
5648.393271093311,5990012,29950132,-47
11028.445455340312,5990011,29950137,48
2442.7168001750624,5990012,29950132,-48
884.0272805602172,5990012,29950138,49
2792.639306897283,5990012,29950130,-49
2237.0334369388,5990012,29950136,50
681.685969391443,5990012,29950132,-50
1476.0459409225514,5990012,29950138,51
6060.727430186918,5990012,29950134,-51
9156.509564341139,5990012,29950138,52
2193.1250835617066,5990012,29950134,-52
4374.820150148225,5990012,29950136,53
12175.475567758345,5990011,29950131,-53
7339.322002121286,5990012,29950138,54
3581.6593666702174,5990012,29950130,-54
4468.284336563505,5990012,29950138,55
4618.669681955173,5990011,29950128,-55
7967.201900918371,5990011,29950136,56
9930.138433503416,5990012,29950132,-56
7013.257291151565,5990012,29950137,57
3124.604802133046,5990012,29950133,-57
2216.238723805116,5990011,29950137,58
4055.9165181520257,5990012,29950134,-58
8162.561168048374,5990012,29950134,59
3193.3300229692795,5990011,29950132,-59
2080.0234599413316,5990011,29950138,60
3005.5175471893363,5990011,29950132,-60
1412.8093853690207,5990012,29950138,61
1835.3714630410577,5990012,29950133,-61
1148.9379521701903,5990011,29950138,62
5867.07466049946,5990012,29950129,-62
5859.843388404894,5990011,29950140,63
1361.1677947210956,5990012,29950128,-63
4167.489632901375,5990011,29950138,64
5249.790029397191,5990012,29950128,-64
6309.804440910615,5990011,29950139,65
4980.367631371563,5990012,29950130,-65
3850.295145970107,5990011,29950139,66
3814.922392614808,5990012,29950132,-66
7282.779490975561,5990010,29950140,67
1532.9895368366233,5990012,29950129,-67
1305.1368619407767,5990010,29950141,68
3550.349796711038,5990012,29950131,-68
3576.718910892776,5990009,29950140,69
1016.7625791950995,5990012,29950132,-69
81.3783914979731,5990007,29950139,70
3633.572172900247,5990012,29950129,-70
5289.6250553510035,5990009,29950137,71
1187.4533942811977,5990012,29950124,-71
3130.6427131369646,5990009,29950137,72
5017.954949463434,5990011,29950130,-72
3098.595479829378,5990009,29950136,73
1685.8744520092478,5990012,29950130,-73
3635.3112188311534,5990009,29950139,74
5126.29869250179,5990011,29950131,-74
2927.0622895390843,5990009,29950138,75
353.42453413959174,5990010,29950128,-75
1755.241492561625,5990009,29950138,76
1179.4186549541537,5990010,29950129,-76
1302.7425786240092,5990009,29950136,77
3471.2150283759856,5990009,29950130,-77
3163.1151037962136,5990009,29950139,78
3977.444499636458,5990009,29950130,-78
1974.5072185596837,5990009,29950135,79
2516.6406472660674,5990007,29950124,-79
4896.458897056473,5990009,29950138,80
1806.8283830232613,5990007,29950126,-80
538.2039721701531,5990009,29950137,81
1398.514934669991,5990007,29950128,-81
1171.9830505620012,5990009,29950138,82
99.86442594236269,5990006,29950126,-82
1394.1582988641508,5990009,29950138,83
2306.8614311857164,5990006,29950125,-83
1077.5400548610742,5990009,29950136,84
848.9667315719507,5990005,29950126,-84
239.86493890545836,5990009,29950138,85
2639.8797679620147,5990005,29950123,-85
2342.04248525991,5990008,29950137,86
3189.0979782103027,5990005,29950120,-86
1237.5521137224205,5990008,29950137,87
3388.753054237939,5990005,29950123,-87
2195.0120122229528,5990009,29950135,88
1655.4076759122472,5990005,29950122,-88
2884.581921386558,5990009,29950137,89
664.4727487204855,5990005,29950124,-89
1078.961242813194,5990010,29950136,90
1216.6065490259962,5990004,29950125,-90
1787.1356796935888,5990010,29950138,91
694.214175845731,5990005,29950122,-91
1581.7827716892607,5990010,29950136,92
177.1371101229779,5990004,29950122,-92
136.1890805414705,5990010,29950130,93
4013.17175498054,5990004,29950121,-93
4651.039973522744,5990010,29950138,94
1475.106005640937,5990006,29950122,-94
1300.2679038487731,5990010,29950138,95
4328.88331207999,5990005,29950124,-95
1590.2559988449375,5990009,29950131,96
1619.3175435111634,5990006,29950125,-96
1314.9362128977918,5990009,29950134,97
1980.5539592088528,5990006,29950125,-97
1736.4720149756004,5990009,29950134,98
786.2574649720063,5990005,29950122,-98
978.4471585840147,5990008,29950133,99
781.8180285003837,5990006,29950125,-99
658.4367724682415,5990008,29950132,100
1431.2935997846835,5990005,29950123,-100
2772.9703247968246,5990007,29950132,101
653.0025190736651,5990005,29950124,-101
967.4400288683873,5990008,29950133,102
1721.5955107520704,5990005,29950123,-102
868.228875664121,5990008,29950133,103
1546.447564034297,5990005,29950119,-103
2033.1035017665308,5990008,29950129,104
479.3083710254705,5990004,29950116,-104
1601.605838087109,5990008,29950132,105
900.4741168196824,5990005,29950118,-105
2272.63024804057,5990008,29950131,106
1947.078604631668,5990005,29950115,-106
1633.353718794815,5990007,29950132,107
2149.012316619701,5990005,29950114,-107
1564.8642022977801,5990008,29950129,108
304.01327642892466,5990005,29950113,-108
1762.6693347138862,5990008,29950130,109
31.566464063924286,5990004,29950108,-109
1148.2512986877045,5990007,29950131,110
2500.4926580486717,5990004,29950113,-110
1894.8968919088475,5990008,29950132,111
1976.7932507436672,5990005,29950114,-111
779.6698692006066,5990008,29950129,112
1188.9389710516425,5990004,29950110,-112
3922.26701105939,5990006,29950128,113
388.7301457032536,5990004,29950110,-113
174.92634394271818,5990006,29950125,114
1845.3814753790903,5990004,29950115,-114
1696.3927203674593,5990007,29950130,115
1129.9133637721206,5990005,29950113,-115
640.7164870531087,5990007,29950130,116
2241.797852473328,5990005,29950111,-116
1209.6956744325175,5990007,29950130,117
1091.4749548227555,5990003,29950113,-117
1078.627029059322,5990007,29950127,118
2652.3630970721356,5990005,29950113,-118
1837.0000034371933,5990007,29950129,119
913.2560839631988,5990003,29950109,-119
