dev,singletons,controls,offset
761606.1590880062,492216,2461168,1
200547.78665976186,492216,2461167,-1
456.0101932519078,492216,2461168,2
4801.295954056408,492216,2461167,-2
4439.780256149587,492216,2461168,3
2661.40557199011,492216,2461168,-3
918.5905177800214,492216,2461168,4
2190.0975298096273,492216,2461168,-4
1011.7882189379325,492216,2461168,5
3830.8650969494224,492216,2461168,-5
2719.302596048342,492216,2461168,6
883.1145602474705,492216,2461168,-6
885.4111781339764,492216,2461168,7
1351.4892101455948,492216,2461168,-7
559.4822333825,492216,2461168,8
1644.8068819880586,492216,2461168,-8
736.2872695991489,492216,2461168,9
1250.0941082679342,492216,2461167,-9
411.51600654509286,492216,2461168,10
368.23094867061764,492216,2461168,-10
1005.9254909094716,492216,2461168,11
93.68362825106692,492216,2461168,-11
626.9510988041029,492216,2461168,12
246.5870274695344,492216,2461167,-12
262.7594065339358,492216,2461168,13
497.6011109826011,492216,2461167,-13
119.48019873325097,492215,2461168,14
542.0897454653164,492216,2461167,-14
1124.6923140361023,492216,2461168,15
433.5923214402683,492216,2461167,-15
1792.7597333434524,492216,2461168,16
1958.621276404758,492216,2461167,-16
1056.3040053013142,492216,2461167,17
306.08721126332694,492216,2461167,-17
686.4621319927637,492216,2461168,18
196.5085181618124,492216,2461166,-18
238.29318152624592,492216,2461168,19
132.03374373351065,492216,2461167,-19
1062.4006044873086,492216,2461168,20
318.00804376415545,492216,2461167,-20
771.7704307803538,492216,2461168,21
589.7659888880933,492216,2461167,-21
444.60270397680324,492216,2461167,22
157.72307124866438,492216,2461167,-22
347.1108392295182,492216,2461168,23
1164.6819568745682,492216,2461167,-23
2066.069788984588,492216,2461166,24
317.74016883643594,492216,2461167,-24
293.2553273249114,492216,2461164,25
709.494625351354,492216,2461167,-25
1174.26657493297,492216,2461164,26
1212.599096229661,492216,2461167,-26
1176.3113259897364,492216,2461165,27
37.22229766554352,492216,2461167,-27
437.36902709652196,492216,2461164,28
140.70635671065747,492216,2461167,-28
41.93476407555988,492216,2461164,29
510.38019574403404,492216,2461167,-29
766.3401951391788,492216,2461164,30
572.0004748034562,492216,2461167,-30
287.6847776233217,492216,2461164,31
43.42883867313128,492216,2461167,-31
71.66165292056267,492216,2461164,32
841.9092470413752,492216,2461167,-32
1144.937070369266,492216,2461164,33
355.2253981751851,492216,2461167,-33
1018.7763329806812,492216,2461163,34
1704.7428152248767,492216,2461167,-34
1582.802024447677,492215,2461163,35
635.5507792050541,492216,2461167,-35
110.21021961419024,492216,2461162,36
791.1054376174988,492216,2461167,-36
675.5974312646574,492216,2461162,37
214.01567690649495,492216,2461167,-37
204.4407312642228,492216,2461162,38
471.49867269664776,492216,2461167,-38
339.23964130614013,492216,2461162,39
2.2864050730611893,492216,2461166,-39
600.1177845602076,492216,2461161,40
678.0780811743962,492216,2461167,-40
635.8167739622904,492216,2461161,41
706.9500507535681,492216,2461167,-41
702.244976708665,492216,2461162,42
266.04013502925,492216,2461167,-42
86.01974898157766,492216,2461162,43
67.71634093835735,492216,2461167,-43
140.9495762892068,492216,2461162,44
439.9505457136672,492216,2461167,-44
914.8067218055066,492216,2461161,45
160.40280866372927,492216,2461167,-45
106.8105625227904,492216,2461162,46
734.9911961152302,492216,2461167,-46
113.78108814150966,492216,2461162,47
576.4786387513154,492216,2461167,-47
817.6524507559798,492216,2461162,48
240.74323798167336,492216,2461167,-48
102.61153701758622,492216,2461162,49
141.18711112790766,492216,2461167,-49
228.75106387015433,492216,2461162,50
49.1761513314442,492216,2461167,-50
318.5477137955885,492216,2461162,51
308.5414813317211,492216,2461167,-51
668.2803802691601,492216,2461162,52
116.552129937823,492216,2461167,-52
345.86860029286436,492216,2461161,53
823.7139807987478,492216,2461167,-53
484.3835223658233,492216,2461162,54
197.65708587182053,492216,2461167,-54
194.24376140514437,492216,2461162,55
289.89285933346537,492216,2461167,-55
589.2804798553116,492215,2461162,56
763.2144113879949,492216,2461167,-56
829.3581223184515,492216,2461162,57
90.7068160375012,492216,2461167,-57
265.24854531989536,492216,2461162,58
435.17039041569956,492216,2461167,-58
506.83021816020255,492216,2461162,59
365.7726426264462,492216,2461167,-59
286.0917267184659,492216,2461162,60
94.19053572137364,492216,2461166,-60
99.75444712910289,492216,2461162,61
171.18192158021043,492216,2461166,-61
102.86360244221794,492216,2461161,62
466.7857549229809,492216,2461166,-62
558.916727373849,492216,2461162,63
77.35949951299608,492216,2461166,-63
160.7681367927362,492216,2461162,64
311.0061581988225,492215,2461166,-64
686.82600527011,492216,2461162,65
576.1443804366168,492216,2461166,-65
339.38728331960147,492216,2461162,66
307.92765706185355,492216,2461166,-66
551.5874243817279,492216,2461161,67
190.97261380397913,492216,2461166,-67
216.44173997156895,492216,2461160,68
378.27327481111024,492216,2461166,-68
380.99296115478376,492216,2461160,69
68.283502937111,492216,2461166,-69
5.955396333651855,492216,2461159,70
261.5913403704153,492216,2461166,-70
297.49072968437156,492216,2461159,71
146.97895765812382,492216,2461166,-71
366.78307413735325,492216,2461158,72
304.1248967276744,492216,2461166,-72
216.409178791537,492216,2461159,73
150.00820814140093,492216,2461166,-73
332.59339444029115,492216,2461159,74
477.6231275391183,492216,2461166,-74
194.4439108109891,492216,2461159,75
20.81660032960582,492216,2461166,-75
149.26946705335604,492216,2461159,76
221.85704560112333,492216,2461166,-76
266.460301804497,492215,2461158,77
235.5754961382238,492216,2461166,-77
277.8312137082155,492215,2461159,78
318.21035493458794,492216,2461166,-78
99.84710973581173,492215,2461157,79
163.9084074133225,492216,2461166,-79
282.76112721635764,492215,2461158,80
171.03300228738726,492216,2461166,-80
196.30250140137468,492215,2461158,81
105.39253847276996,492216,2461165,-81
96.85281123150918,492215,2461158,82
52.95459691519301,492216,2461165,-82
75.63684095529487,492215,2461157,83
218.94546601277614,492216,2461164,-83
24.472541472048135,492215,2461157,84
61.49588325005544,492216,2461165,-84
1.571695498101917,492215,2461157,85
69.37378553210402,492216,2461165,-85
143.2620826659035,492215,2461157,86
178.35617587161994,492216,2461165,-86
54.05838750375858,492215,2461157,87
195.88002650807812,492216,2461165,-87
90.06499858549319,492215,2461158,88
79.65953555070216,492216,2461165,-88
160.5791901343432,492215,2461157,89
42.07878619730013,492216,2461165,-89
119.57139936160526,492215,2461158,90
118.53512054358379,492216,2461165,-90
75.36041080176487,492215,2461158,91
39.803689406637204,492216,2461165,-91
174.89965073231633,492214,2461158,92
32.516210211618215,492216,2461165,-92
22.50140389271118,492215,2461158,93
233.80080130810438,492216,2461164,-93
288.43632734120627,492215,2461157,94
130.54456103380926,492216,2461165,-94
119.30758030025382,492215,2461157,95
327.17710448646585,492216,2461165,-95
