dev,singletons,controls,offset
524529.5936792297,389659,1948383,1
187601.3049729446,389659,1948383,-1
2249.7722073609457,389658,1948383,2
4719.055556788289,389659,1948383,-2
2343.239886906098,389659,1948382,3
3608.5601793227297,389659,1948383,-3
500.19074124472445,389659,1948383,4
536.2392117021006,389659,1948383,-4
835.3851012130553,389659,1948383,5
898.5574982557464,389659,1948383,-5
1064.3131040040516,389659,1948383,6
408.8440224527926,389659,1948383,-6
856.5051155678461,389659,1948383,7
525.1286317692105,389659,1948383,-7
1183.5504054592761,389659,1948383,8
616.6012674855579,389659,1948383,-8
181.9065500363438,389659,1948383,9
510.44732267306154,389659,1948383,-9
204.1915214557248,389659,1948383,10
255.4175917465086,389659,1948383,-10
388.89017309949577,389659,1948382,11
382.01372598419334,389659,1948382,-11
525.0619838519242,389659,1948382,12
348.42812822026656,389659,1948383,-12
90.84293653373419,389659,1948382,13
453.1644417035136,389659,1948383,-13
88.14727567839951,389659,1948382,14
162.02648022398319,389659,1948383,-14
643.1553448809336,389659,1948382,15
633.7254063115761,389659,1948383,-15
2359.2952119747533,389659,1948381,16
718.4229928818954,389659,1948383,-16
365.5566063055444,389659,1948381,17
367.920929535328,389659,1948383,-17
388.7370143596489,389659,1948381,18
209.95732896775166,389659,1948382,-18
70.92196060833896,389659,1948381,19
122.93258576020503,389659,1948382,-19
432.4619599291418,389659,1948381,20
703.2164352331276,389659,1948383,-20
1074.5579490488462,389659,1948381,21
255.33522716575453,389659,1948383,-21
152.4658547891503,389659,1948381,22
333.35202011424053,389659,1948382,-22
709.2464348239505,389659,1948381,23
479.67479291705513,389659,1948383,-23
697.7723110503512,389659,1948381,24
1013.9367913902665,389659,1948383,-24
153.81686668613247,389659,1948381,25
577.7186691515992,389659,1948383,-25
1241.5353968772513,389659,1948381,26
427.7872253231794,389659,1948383,-26
642.0759681182203,389659,1948381,27
65.85049369027206,389659,1948383,-27
28.377585407568972,389659,1948381,28
228.91277525480382,389659,1948382,-28
736.5452001698393,389659,1948381,29
46.631234066038274,389659,1948383,-29
386.8139004329828,389658,1948381,30
294.4413152155671,389659,1948382,-30
44.3106918539811,389658,1948380,31
91.22414964460944,389659,1948383,-31
215.11103265466954,389658,1948380,32
373.28434229354957,389659,1948382,-32
701.2662381937753,389658,1948380,33
396.0348502853169,389659,1948382,-33
1037.368829981122,389658,1948380,34
1184.3816395571657,389659,1948382,-34
1420.0969144347118,389658,1948380,35
548.649712972871,389659,1948383,-35
521.13635886011,389658,1948381,36
291.98430503196,389659,1948383,-36
242.9774067207602,389658,1948380,37
178.59012002629186,389659,1948382,-37
176.66248217837256,389658,1948381,38
96.53057865908056,389659,1948382,-38
279.74506435936837,389658,1948381,39
129.5608866325898,389659,1948383,-39
263.2669952098354,389658,1948381,40
728.1367144563783,389659,1948383,-40
154.36025053190178,389658,1948381,41
986.9478301141535,389659,1948383,-41
830.4422721143447,389658,1948381,42
463.55276667295357,389659,1948383,-42
159.38388639490051,389658,1948381,43
105.13902162195173,389659,1948383,-43
218.44238061793976,389658,1948381,44
352.40976016605237,389659,1948383,-44
968.1989525731024,389658,1948381,45
292.04513501333895,389659,1948382,-45
114.24712657241912,389658,1948380,46
635.8269234225017,389659,1948382,-46
339.27701856930594,389658,1948381,47
140.8698236280144,389659,1948381,-47
699.5804477732845,389658,1948381,48
172.58940683630294,389659,1948381,-48
153.26643867466282,389658,1948381,49
268.5704513644969,389659,1948381,-49
254.5906938419297,389658,1948381,50
78.26013016238414,389659,1948381,-50
161.25988448968593,389658,1948381,51
371.4927248895733,389659,1948382,-51
1201.5873070493608,389658,1948381,52
80.41431010097881,389659,1948382,-52
203.56771030641272,389658,1948381,53
781.0051017614505,389659,1948381,-53
732.759523032666,389658,1948381,54
272.18073270291086,389659,1948382,-54
297.8915923076959,389658,1948381,55
302.8795021395608,389659,1948382,-55
617.0422257941309,389658,1948381,56
381.69624530602596,389659,1948382,-56
424.59952301347676,389658,1948379,57
103.95484839638084,389659,1948382,-57
247.28886641892734,389658,1948381,58
142.41319314437806,389659,1948382,-58
410.0872051440608,389658,1948380,59
245.06658324930032,389659,1948381,-59
200.14914130265106,389658,1948380,60
76.47469853615554,389659,1948380,-60
15.256387919091395,389658,1948380,61
94.95668029865351,389659,1948380,-61
264.5082192354313,389658,1948380,62
159.40925587054335,389659,1948380,-62
207.88131601294617,389658,1948380,63
97.24262043662827,389659,1948380,-63
217.2973108967833,389658,1948380,64
72.92364821993772,389659,1948379,-64
182.59949983635306,389658,1948380,65
364.85902777742194,389659,1948379,-65
162.11878904236562,389658,1948380,66
198.7277927863811,389659,1948380,-66
412.7033845654148,389658,1948379,67
128.941921302561,389659,1948380,-67
230.95153062602452,389658,1948379,68
37.23921867663563,389659,1948379,-68
165.84173896098903,389658,1948379,69
112.72582786322664,389659,1948380,-69
68.64221297032077,389658,1948379,70
103.32160640293768,389659,1948379,-70
113.51180614494876,389657,1948378,71
189.4990204539584,389659,1948378,-71
52.23060966097114,389658,1948377,72
428.9715695796431,389659,1948378,-72
264.9070606207407,389658,1948378,73
38.65593704274019,389659,1948378,-73
439.345511910622,389658,1948377,74
120.39292541874352,389659,1948379,-74
55.38870745688761,389658,1948378,75
68.25543572132528,389659,1948379,-75
31.987026373649996,389658,1948378,76
87.66706323949461,389659,1948378,-76
168.35603781126065,389658,1948378,77
24.583194805197678,389659,1948379,-77
161.01766756239812,389658,1948378,78
253.07983932852616,389659,1948379,-78
219.5700897039942,389658,1948379,79
18.857479161797556,389659,1948378,-79
224.2950451510544,389657,1948379,80
162.04211834260764,389659,1948379,-80
108.9979352341195,389657,1948379,81
103.16093974637465,389659,1948378,-81
142.48391838001453,389657,1948379,82
34.71540430138606,389659,1948377,-82
73.26224066557324,389657,1948379,83
200.65188306751907,389659,1948377,-83
20.635804637268166,389657,1948379,84
30.16939793933534,389659,1948378,-84
59.670308879618915,389657,1948379,85
67.84521100689585,389659,1948377,-85
92.91787001270622,389657,1948379,86
171.12796531474044,389659,1948376,-86
61.561278124564296,389657,1948379,87
116.8845321146614,389659,1948376,-87
115.35502258364068,389657,1948379,88
90.68725826548439,389659,1948376,-88
188.93157290390354,389657,1948378,89
61.08114993456158,389659,1948377,-89
80.49097816083778,389657,1948378,90
70.0857855859258,389659,1948377,-90
121.9844728765961,389657,1948378,91
97.48591742881547,389659,1948376,-91
209.21309738420632,389657,1948379,92
2.6944488866173515,389659,1948376,-92
27.283578676986735,389657,1948379,93
147.22375138195866,389659,1948376,-93
217.52377253307395,389657,1948379,94
163.0799523764299,389659,1948377,-94
215.98668320613388,389657,1948379,95
325.877414204298,389658,1948377,-95
119.2497588754062,389657,1948379,96
107.22693059932556,389658,1948377,-96
85.45201474400062,389657,1948378,97
214.05705774583612,389658,1948377,-97
293.32321934292463,389657,1948378,98
75.4681899422742,389658,1948375,-98
141.11395198389016,389657,1948378,99
123.16866547522352,389658,1948377,-99
63.48101013996211,389657,1948377,100
117.67793421464216,389658,1948377,-100
268.2410362841674,389657,1948377,101
14.938026719334118,389658,1948378,-101
42.90807493454565,389657,1948376,102
119.57256140685791,389658,1948378,-102
122.61285097689307,389657,1948377,103
177.1000607762478,389658,1948378,-103
282.7485929262225,389657,1948377,104
142.06556086877322,389658,1948378,-104
129.5375697786007,389657,1948377,105
78.33574016048169,389658,1948378,-105
159.08529594309493,389657,1948377,106
187.94361153331783,389658,1948378,-106
150.81741623323956,389657,1948377,107
188.3999122415321,389658,1948378,-107
199.52635665794332,389657,1948376,108
61.10957468863353,389658,1948378,-108
240.68263319139896,389657,1948377,109
27.182636611081136,389658,1948377,-109
166.7174976928054,389657,1948377,110
81.46308279512493,389658,1948377,-110
78.09785437451208,389657,1948377,111
151.18561669102962,389658,1948378,-111
82.95722677683216,389657,1948377,112
89.48837641762839,389658,1948378,-112
345.484958926751,389657,1948377,113
47.43242766349039,389658,1948377,-113
38.180361127506785,389657,1948376,114
147.37307338459186,389658,1948378,-114
157.29906034226715,389657,1948377,115
104.96132278003131,389658,1948377,-115
76.8095432017451,389657,1948377,116
164.57612556168715,389658,1948377,-116
93.2317506581453,389657,1948376,117
133.21266912681585,389658,1948377,-117
91.3048483047317,389657,1948376,118
238.60123779374538,389658,1948377,-118
141.07314059802013,389657,1948376,119
93.39312777609575,389658,1948377,-119
51.815195691159374,389656,1948375,120
191.5545511203627,389658,1948377,-120
165.44763902147315,389657,1948376,121
27.245331001050317,389658,1948377,-121
29.805919248585724,389657,1948375,122
90.7344627218597,389658,1948377,-122
83.60964030808395,389656,1948373,123
59.72752945888021,389658,1948377,-123
60.22850271852917,389657,1948375,124
63.551109879603246,389658,1948377,-124
94.4291016741854,389657,1948375,125
79.70887216099447,389658,1948377,-125
16.453692139740653,389657,1948373,126
201.1284507853378,389658,1948377,-126
85.96914987745163,389657,1948373,127
60.87684104143932,389658,1948377,-127
24.529974051394305,389657,1948373,128
84.26594136417953,389658,1948376,-128
133.27671439945834,389657,1948373,129
31.379548101684378,389658,1948377,-129
33.29911994968529,389657,1948372,130
84.86517591177665,389658,1948376,-130
127.14615911886176,389657,1948372,131
79.8276432682718,389658,1948375,-131
38.89218944734307,389657,1948371,132
51.048806807667006,389658,1948375,-132
55.88799989764084,389657,1948371,133
36.369792719306076,389658,1948374,-133
34.950297430214846,389657,1948371,134
51.86614518768147,389658,1948376,-134
100.08523821566041,389657,1948371,135
32.77670524815056,389658,1948376,-135
30.59779836812075,389657,1948371,136
98.59230509502379,389658,1948374,-136
96.9518384547315,389657,1948370,137
86.61594104260405,389658,1948375,-137
66.66235384442001,389657,1948370,138
104.80631158815208,389658,1948374,-138
105.65287232790115,389657,1948370,139
91.29165933173249,389658,1948374,-139
140.8556065808682,389657,1948370,140
100.57349890269234,389658,1948374,-140
161.64917640399744,389657,1948370,141
103.25125411304928,389658,1948374,-141
51.32870479473604,389657,1948370,142
88.18766704038762,389658,1948374,-142
38.33760123161858,389657,1948370,143
39.37587803052661,389657,1948373,-143
16.55524735944067,389657,1948370,144
36.12893619070337,389658,1948374,-144
86.39038147420467,389657,1948370,145
20.12344278406721,389658,1948374,-145
69.71797483851704,389657,1948370,146
49.028914106044525,389658,1948374,-146
48.88053879572476,389657,1948370,147
96.26848097597849,389658,1948374,-147
112.71224249396755,389657,1948370,148
124.04780827947638,389658,1948374,-148
35.94588562392926,389657,1948370,149
72.95430361106082,389658,1948374,-149
45.89695829008815,389657,1948370,150
49.47438864265871,389658,1948374,-150
30.703530399731164,389657,1948370,151
17.094979275284913,389658,1948374,-151
20.57733204991132,389657,1948369,152
2.1119713820200445,389658,1948374,-152
18.240536376140483,389657,1948369,153
6.202040624139602,389658,1948374,-153
7.858260824516847,389657,1948369,154
18.60514481228458,389658,1948374,-154
18.505209688227524,389657,1948369,155
31.658363077002264,389658,1948374,-155
26.78394452063185,389657,1948369,156
45.65493437473674,389658,1948374,-156
25.9300193851509,389657,1948369,157
70.4590122979987,389658,1948374,-157
50.84955764691751,389657,1948368,158
55.153817708712026,389658,1948374,-158
41.684347621404186,389656,1948367,159
70.78747779639605,389658,1948374,-159
31.355122251749776,389656,1948366,160
11.056138824691836,389657,1948374,-160
46.56926360512631,389656,1948367,161
19.587685818439468,389658,1948374,-161
45.49533918020455,389656,1948367,162
4.861368905115626,389658,1948374,-162
18.78953785995411,389656,1948367,163
30.598909456018674,389658,1948373,-163
0.7208893791481996,389656,1948367,164
39.57328076250741,389658,1948374,-164
17.715989483564584,389656,1948367,165
46.42906948664944,389658,1948374,-165
29.900061964512986,389656,1948366,166
59.44072898966306,389658,1948374,-166
21.017467419612558,389656,1948366,167
39.722413393291504,389658,1948374,-167
61.572848859153964,389656,1948365,168
32.48621422320616,389658,1948374,-168
85.83866087874338,389655,1948365,169
14.704588724578343,389658,1948374,-169
14.70728473186253,389656,1948365,170
27.62562112034294,389658,1948374,-170
7.0379352981692875,389656,1948365,171
36.440291518082404,389658,1948374,-171
17.47812739670576,389656,1948365,172
14.168064105555686,389658,1948373,-172
14.777051250862087,389656,1948365,173
5.3954950129267445,389658,1948371,-173
24.270849897355333,389656,1948365,174
27.098355014072922,389658,1948372,-174
40.58076715896823,389656,1948365,175
13.932826223787302,389658,1948372,-175
43.55123228531136,389656,1948365,176
7.730698453468506,389658,1948372,-176
35.601263285466075,389656,1948365,177
12.794078511997554,389658,1948372,-177
11.4653973961627,389656,1948365,178
10.829545765081292,389658,1948372,-178
6.414856666803587,389656,1948364,179
12.797345320446254,389657,1948372,-179
2.2173259145067163,389656,1948364,180
5.124976706657009,389657,1948371,-180
30.638624109317433,389656,1948363,181
10.751980069710292,389657,1948372,-181
7.393392758767561,389656,1948363,182
28.92911930743503,389657,1948372,-182
17.211158363657887,389656,1948363,183
18.27865719306247,389657,1948372,-183
53.97322926673843,389656,1948363,184
10.301866388910954,389657,1948372,-184
32.74804455585161,389656,1948361,185
4.66033591250374,389657,1948372,-185
9.381892787151685,389656,1948363,186
20.466685110593687,389657,1948372,-186
18.15483904942812,389655,1948363,187
14.719654785130672,389657,1948372,-187
2.4792748399553943,389656,1948362,188
48.63121983282849,389657,1948372,-188
27.666465777113444,389656,1948363,189
17.561502180422394,389657,1948372,-189
27.157510620295852,389656,1948363,190
16.590054932255555,389657,1948372,-190
17.816102481992857,389656,1948363,191
17.37676941205939,389657,1948372,-191
25.122958409915782,389656,1948363,192
51.00696365577846,389657,1948372,-192
30.60206587283369,389656,1948363,193
17.01954793550189,389657,1948372,-193
26.86435231886074,389656,1948363,194
10.366053111753217,389657,1948372,-194
17.38523320377965,389656,1948363,195
22.138909937079063,389657,1948370,-195
33.05929120382871,389656,1948363,196
44.57652914231869,389657,1948372,-196
10.894490683329888,389656,1948363,197
23.817860668179208,389657,1948372,-197
41.213807030012674,389656,1948363,198
20.15994246643369,389657,1948370,-198
12.924118098009899,389656,1948363,199
10.530082583995743,389657,1948370,-199
33.89536032910854,389656,1948363,200
46.179159020061206,389657,1948370,-200
